:START_ID(user),:END_ID(restaurant),review_id,stars,useful,cool
-6GQDYZxSKX23WmXBpiJ5w,yDiWYpuzRxcTgSi_O4JZpQ,09kIN0IZOjkO38a6JbPPUQ,5,0,0
61nr50PqgF4WUWx4r-OcsQ,citzbW-2MVEZRNBqpVO-Jw,-kJqw8ptJ5ieoTVuHGdCLg,2,1,1
0yxpsshqANhlzFE5LIZ5gA,XF86J5bJKkmueBL-PmPbcg,CuKycTo-4k69flfRxNBvYA,1,0,0
WVetgps5i3cem_incIh05A,W6S482dRQ_9nCcLjfv8VNg,Q6w526J-USlXGJuS9yaIWA,5,0,0
bCmOH5WRgd8MMLsz_jlfQA,sKQ0KYon7eT6xEnCpb18aw,F4VW4Gj8k38T6Lz3XcL__Q,1,0,0
tvTrZRJOZPsh4HzaWdoXIw,s-7Q1GAQmB-Qsm_UwviHVA,z2yzTNrP30cHJjwd6FVRlA,1,0,0
mRvP6_HWwRiisM3NiNOG5g,psD0qpCK-iENFO9c8hmnkw,-ENLRBoXnXi47LR5Meyu2A,5,2,0
yG1q9kH2Zj4OeWusHMQmSw,ixsljpxu56VCTtayIELqUg,_MqRyh1B3ASOeTzPPnb_CQ,3,0,0
bgpeH1A75RPHR3kOyl6nGw,5RtAJPXFLTzwALIe1mtNuA,iEw-UIkE8MH2PM8LUiWGgg,4,0,1
CEtTB2_zqgTBqXK6KI3CjQ,LSxmfbgcZLdQ5ai2vf2nmA,fWn57-J2aYpAD_LSSpOiaQ,1,1,0
hSvOtGdEW8e3lC_YIp-LcQ,W6S482dRQ_9nCcLjfv8VNg,DfcrexT5qGCI_Emt-cF4WA,4,1,0
Hvc16QFEw6yGVftSt15Ziw,iXemjTj5TOByT1-cNTSaDw,-qEB9-7S7VqHxwCDbKZj0w,4,2,0
AxnKCEZoln5ZmhT2ik6RNQ,5RtAJPXFLTzwALIe1mtNuA,8hIUk_To8ax8pSGZar2bZA,5,0,0
ZRN3b3ssJNHa0WtLZ9vgKA,5IFqqWJTaPNoY2ZgRlX73w,bvvmz7DXY7Hz4Rb0TOiPig,5,0,0
pF7ZCQEi7wk-PfhtW9Br2w,o8JeOB8HTa5HYHg6hfqTHw,ssxstq3ZEe02ASu1Fq-LaA,4,0,0
A08Z4MwB5tD69Uxpq0vZqg,iJKOUYgigs4VYsWny6AtEA,fWZVkadgW5u8gA89kFHg1w,4,1,0
59FYUqwUc_ydRWmjrxW1MA,LSxmfbgcZLdQ5ai2vf2nmA,s2XyQjZnUCLhoe5z0UNEwA,2,0,1
9o0wWRNXqDLwTyLUQvLruw,LSxmfbgcZLdQ5ai2vf2nmA,fUpXRkpp3pl4gMzj2A7pbw,4,2,0
NqBYt9pw7kNoytFQ9ATS-w,hFa7UxRZgJDQJ3UBhQsu9A,dPTVougMrTQXyl3Cb-fRSg,4,1,0
VgXgDBCH7iq76dS1049uEQ,5IFqqWJTaPNoY2ZgRlX73w,B8uhX84GLkADwdDm6FU5jg,5,0,0
g6s0qIp1AGaIhHyrS6_YVA,hFa7UxRZgJDQJ3UBhQsu9A,7yebKqKgrvFPcKHPY9o2fw,3,0,0
wzyGNvArcpUjZauRWFrKHA,MTjS4g__WMgA-PPMjCL4fQ,aGZe9ui6veZ5Te9djrMtbg,3,2,1
590n3_2wj7xIPBzw8ogXTg,o8JeOB8HTa5HYHg6hfqTHw,JL-l5t_eEpN4ID2AZdp74g,5,3,0
K-vrlYvbW4hXX4e1tQfzyw,uoMWvXch6sWnI9FMsE_-Vg,tcOpVaAMQ8yt-d-YJkOgog,4,0,0
PW2001NgDQBg2wLmSMPg4Q,B6zs6ywn7TfhOmmDtuWQkw,NAAAQ6ukX9m2B0SlTLrIPA,1,1,0
1UCQOJxaOKqugbglLPd5ig,MZW_eTFYFBvHYg5OFqDRCA,YS3l7lhlFUmAxbw-11qWCQ,2,0,0
cleOWOFKGYj5IY4EYjgMLQ,ixsljpxu56VCTtayIELqUg,rTs_3sKBgIoM0tesu_6t-A,4,0,0
zZRE8S7Lz4oHUmq63CbWcw,mtowE4p6gOgyGrHAsMz-rg,PNghK73Ye-RW7_bKZwFlrg,3,0,0
KZeevXlrB1LDgjgsPwVS2w,mtowE4p6gOgyGrHAsMz-rg,1-agEFiZkkI6vm2ppBHyFg,3,1,0
bCV-xUh4gWscZLQLWXBtJw,uoMWvXch6sWnI9FMsE_-Vg,8la7nMPdxI3T6ZWVY2DhWw,3,0,0
mPaMKIY3olrepI21llPYjg,Dy91wdWkwtI_qgjAIZ0Niw,f5v-FFEXa3MKGPyb2WUNbQ,5,2,0
I_DxO0YwW-mV3qMZq2sR-w,ThZyytdc_kj2uBYFiSao-A,GtkNOuCYl66VMWmOmqYlYw,1,3,1
-v99R_jSDi4wi8_g-yyKBQ,jVJH1KfitQi87MYMh6vyMg,0EgES6RKNhRxxOIhGx95Yg,4,0,0
NMOxipsnXc6olWdHYzXiYA,MZW_eTFYFBvHYg5OFqDRCA,mvwgkhfuJttyfTrhOeVqJQ,1,0,0
vLrXULy1JXXQVscS_Vo-Ww,psD0qpCK-iENFO9c8hmnkw,Mmcqfx5gAx0jEyDXKW0QvA,5,1,0
zDQK-InRK5g2weu2KeabBA,k9W1gDPg4TziOTqY_xjTyQ,gR6MrCQCY9wiNOSd1hp8hQ,2,2,0
yonLnehnOp5fjWV2cFVqVA,A_-Vv5oKZNqxsV69_7E2KQ,pg2za6H_QD_6vnRw68EyOw,4,0,0
HRCyugJI_AcrtmOmn4cRHA,ThZyytdc_kj2uBYFiSao-A,nIWMtsR8-Rj7mEZj66YdQQ,2,1,0
590n3_2wj7xIPBzw8ogXTg,_NhT0A3LUEd75L_cEXf2_A,gK-l7Xm62UFy5KDRTWEyFw,5,2,0
WZHz60LngteI7-Qita9XlA,hFa7UxRZgJDQJ3UBhQsu9A,XfPi2cZUkM5lnFi_0tW1yQ,2,4,1
IQcV3vi5EWfLkSFDW0jzTA,A_-Vv5oKZNqxsV69_7E2KQ,gfmugEMgNsVpcYAsSH3Vhg,4,0,0
cNFJaLeT9MEVyUAk1VhgJA,7Ld1DxAhSlGSateku0iqbg,Mod56GW80UZGs48lcnbKyQ,4,0,0
56uyTW4KiGduSVw5l2SYIw,iCfB58Cvb_rw_SDAgPXLfA,XzhmqiRCaP2jcoq88UX-zg,5,0,0
0mb0yniUUz-LUde1gYfULA,A_-Vv5oKZNqxsV69_7E2KQ,kY_ibCGPgOp9BatervWeaw,5,0,0
zSYtDYAY_yGCkXKXwVTvXg,hFa7UxRZgJDQJ3UBhQsu9A,3FRaPL0Do-KaAJLp5NT-aA,2,1,0
qzqkHVbnqK__SMug1mnw7w,uoMWvXch6sWnI9FMsE_-Vg,vVrgfNnozyz02xWeD8RC6Q,4,1,0
5Z_nND8byhuLCioo1QBxfw,ThZyytdc_kj2uBYFiSao-A,EZ1aOiQeVeYZnVLYxOjpow,1,2,1
I5EsgXDMi-UeUnGyMENefQ,_BqPnypB6wPZRPbEqtKy6A,HNSqS2SnnRmIQ7cWWCSS_w,1,0,0
bQbTlM4TRjodo_59GPp3Eg,uoMWvXch6sWnI9FMsE_-Vg,Gz0Q7noWblTHPGgmh5H9dg,5,1,0
ArIoPib2zfspT2xO2MIlcw,xtbAqP_Ftb3kYJ53Hv6H5w,c0at8AocKK_mp-8PIkht8Q,1,1,0
Rx4IugMRCVlrOF8P4viUKg,19fHbf0qzihtEtXQZ2ntww,EDTxNgMlqi3lV63wcMqWUQ,3,4,1
RN-ROriuiTMfr0AhWioj7Q,xtbAqP_Ftb3kYJ53Hv6H5w,qCOOMNNluFGbAH0ZSzXieg,4,5,1
XRQE1IcDHhV8jfvmMALqOw,hFa7UxRZgJDQJ3UBhQsu9A,ETCZ61rx1DvKOWcDCp5YEw,5,1,0
EO1Cz15wYnHQ0aGc9T6tzw,s-7Q1GAQmB-Qsm_UwviHVA,KEtuoynDXNWWVUCjFefg4A,2,0,0
lO63PbaZP6DJmYyKKl8UNQ,iJKOUYgigs4VYsWny6AtEA,430uBHvWMzZlaRcOdZ78Eg,4,0,0
r8NkKFIjOx6CP_FLt5GKzw,5R6YO6K9PkthkTbXqV9slQ,Lf48-ymEO4itMIwKaeXJbw,5,3,1
PC-btyWC892Yp7JpSw-Pwg,7O7YHTUB3uqXHsQSLKR0SA,tRT3B_85fdkADaDLlhfCeA,2,0,0
cFaHx-FkCnzdfF8BccukIg,ulwns2OavT81v6zG-Sk6ng,0cTY-97LAPbXbAHZYgFTtw,4,1,0
5EkIwjApJ3MY1qGED7x1aQ,A_-Vv5oKZNqxsV69_7E2KQ,zRhMhAMXqUq3Iai90ONB_w,5,2,1
j_orXueAYJBft-VUNbs1IA,i2qrXvLkhyG4xyRI-ddcZA,xTWaBLIPRZAgDNh0bU2_-A,3,0,0
mx3H7ezr_6M08mIhirxsQA,A_-Vv5oKZNqxsV69_7E2KQ,wIGSWCcby87vDblM5ubTFg,5,1,0
GG0mFsEXb-02_dzFPqRV1Q,k9W1gDPg4TziOTqY_xjTyQ,qksrHSAVMq8jArTqIIDL5Q,3,1,0
rIGU0h70QMIpVK4QULfxsg,ThZyytdc_kj2uBYFiSao-A,Bo3i1F_M3dyZzvkterQyZQ,2,0,0
aToXreIHebl82eiRptU1-Q,OlOVRlcEstxKK_6hMjy63A,F49Tjz8F_IsoC75j65wm7A,3,1,0
ZXLg63NasKtoA8k45fAD6A,OlOVRlcEstxKK_6hMjy63A,0F9opPQYXLlN0GE_whWVIQ,1,0,0
EWAuts5tIljR3cncrc4Daw,1Ye_elsSB-XjKgWAHDwPbw,25UghdGOaXUWeS0B6WNAZw,1,0,0
36gjZ3cHN9rBHgp4JOJ1Rw,7O7YHTUB3uqXHsQSLKR0SA,jnVgf1c9_2fzBj8iaZ0M_Q,5,0,0
bA9wFtiODX-x3wMMUMUoqQ,A_-Vv5oKZNqxsV69_7E2KQ,YSsVyv8kTPDo378seKedHA,4,0,0
Ip-XdrL7uInJmkpPY6OMhw,UZkuF34Plfao49I9dylzXg,LhK_BXNipLdD7QIGS3ycJw,5,1,1
CBQNhLohQdGklas6aNt5qg,jVJH1KfitQi87MYMh6vyMg,K_nm_-d2IsKHJbudJRIkLA,5,0,0
iqHRttGjTxxEBWFMQdpgzQ,fLeD_h6uD4yEN2ciI08RiA,sdafClToP0erkjLnX1MfRw,3,0,0
h2qrABo1786GXNCf49cRIA,o8JeOB8HTa5HYHg6hfqTHw,UxGBK3Ugcs9x5HJONRgKPQ,4,0,1
Xi9eDcFVPHBxQLr1o-QneA,psD0qpCK-iENFO9c8hmnkw,t3961-lcaVdEbigkHar3oQ,3,1,0
ZXCGLSEIJfV_g_MbDs4CYQ,_BqPnypB6wPZRPbEqtKy6A,s5tArudxKoAaGrpgxMuQlw,3,1,0
KGGTrWrr4qofJbiIh3lbtQ,CKKY7kxtznKVzm9FBzAL4w,URc0FPp51Crml1ISkh72Wg,2,0,0
K_EB80pEAENEFwOQZ_9clA,iXemjTj5TOByT1-cNTSaDw,LOG4Mg_7is41HumUO9ZGZg,4,1,0
kTFGwt18IGrLZ83XtlPz4g,OlOVRlcEstxKK_6hMjy63A,NBPDRUNwwHgwyrOVu0-FRg,2,0,0
D_mwdJPdVZqk_bLCobS2pw,_BqPnypB6wPZRPbEqtKy6A,VwTFaJ5puGaoDQj0fJCzMg,3,0,0
kxxqUuTNMBIqtNef9-9qng,psD0qpCK-iENFO9c8hmnkw,11eoWaPwQh-EFjDZpjKNUA,3,0,0
JTvkCHxfNr7GJRFfrGQ5kw,7O7YHTUB3uqXHsQSLKR0SA,iUaqiRJXl95CXMpIJRwRuw,1,2,0
jAP_EiSAz9r3q7o3ZGAS8g,mtowE4p6gOgyGrHAsMz-rg,eVgOdgx7zQMMgTIPFzfS5A,3,1,1
6Rd-Oz0Iqns4_9NIhG9blw,ZB2T9dwB4vhHPsJC_4eOnw,WhSFtB2FM39kAlriiYKqqA,5,0,0
UAy2XPaSemzs4c38XJWA-g,iCfB58Cvb_rw_SDAgPXLfA,LvqZRJyDld-8C0-fkcM5Fg,5,0,0
bOebhTahbwST9Fda8m1svw,qmDm7guS7TAZTSDFYY2bug,veMhANq3SfleUS9Px3DZWg,5,1,0
tO6cctBn0YZ30VukK6xrjQ,ThZyytdc_kj2uBYFiSao-A,fcrrl8Y_GY9aC_4oDjqAyw,1,1,1
TFhwthIABnufQjLXL2ca-w,jVJH1KfitQi87MYMh6vyMg,FlFia7rlslms0dBS8-x4aw,5,0,0
1yE_6S_f6w5aEyjle1hzMA,MTjS4g__WMgA-PPMjCL4fQ,y5U-F9BSBi50pqgfz27Seg,2,0,1
dyMEh-Xt4TBMj5RKUfOx7A,LSxmfbgcZLdQ5ai2vf2nmA,cO6oOB_4wLIcL7rEG1fnag,4,0,0
jK_SY5ciS1IL82Cf3Ed1_w,MZW_eTFYFBvHYg5OFqDRCA,XaWRDczGm8iBI446e2drQQ,4,0,0
Bq-BIdYrWloJXq6v6v_iiA,5IFqqWJTaPNoY2ZgRlX73w,TmuZ2lADv28WDmgs3h2shg,4,0,0
wlyqPTGQtKns3l2XpzhO0Q,iJKOUYgigs4VYsWny6AtEA,_1DGOfbHmuPqX6DMJeXaAA,5,1,0
tV2_gkppGeXPEdodbwmyBA,i2qrXvLkhyG4xyRI-ddcZA,mUr9iZEt5s4yF5HLpszMbg,1,1,0
beMMdmNtpPqNrf_jWJPgbw,7Ld1DxAhSlGSateku0iqbg,9cyiupak6pnk0iGEHQ7ptw,5,1,2
FLQMCq_UEIFvcH54KiSUAw,5R6YO6K9PkthkTbXqV9slQ,iE-8zmTmlhn8GYGx5LIQgA,3,1,0
Rp8Uu8x__0GmPkX3ataQhQ,uoMWvXch6sWnI9FMsE_-Vg,l44v2HCY5AKI99OGHV70cA,3,1,0
FDddPziBB828nqLdIwNuHg,W6S482dRQ_9nCcLjfv8VNg,iI5klWpz7AiU23_-u8quYQ,4,5,0
lw0EGWFs7nUJA-1gTGOLGA,MZW_eTFYFBvHYg5OFqDRCA,ehL339SGQuCWQ6XTS23org,1,0,0
isE0lDXKCWWWJJKzuTnwPg,19fHbf0qzihtEtXQZ2ntww,7kvxG1fXSZMmuK4VCsA1Nw,5,0,0
Beizkox7xCrio08NHdp3gw,hFa7UxRZgJDQJ3UBhQsu9A,A6tEKUwSbFqLgiJ__puueA,4,0,0
ZWLa9q33aoevkvLrnLbABQ,EROSyhoWNCUH53NrDrsHgQ,mBHvJg2-j3hiI_OJYVaMXg,2,0,0
-IxSMWogq5HWhEKuqX_B6Q,uoMWvXch6sWnI9FMsE_-Vg,NqRDu-6c76ekxbz1YMMyRw,5,1,0
d_IfaFcX95VIthSH4xytpw,A_-Vv5oKZNqxsV69_7E2KQ,BNR2JezNsEHZr8zsG-BycA,4,0,0
ES-WvATjZylnoamV2b00Aw,7Ld1DxAhSlGSateku0iqbg,2riICZzL5V1bXooyTIUcJQ,4,0,0
IP8WNR38vljkyh-m6ourKw,5IFqqWJTaPNoY2ZgRlX73w,Ic1D-EvQ62WskHdQ_JGtcQ,1,5,1
7b1BaT-jf7wNnM5pxE-7kg,A_-Vv5oKZNqxsV69_7E2KQ,g6hM9bGthfMw5hFA0OKwVQ,3,0,0
P9hbcVoZIPKF4gV8KH427A,ZB2T9dwB4vhHPsJC_4eOnw,SIOzEXbAWkAEksEvgZxtbA,4,0,0
QztjHeND8Agw8upiqKmthg,f9iPWhAeA_IKCF-aPcud1A,Edi8fRckkFTMJQMksOC9zg,5,1,1
0I7jiG82JGXhR3QKH-ZBRg,OlOVRlcEstxKK_6hMjy63A,8j1-extTWu8eo3puOHKVaw,1,1,0
CSCKshBCf6-MBGUCFpEGAQ,MZW_eTFYFBvHYg5OFqDRCA,OjFw55RXSWEf28fEZif9BA,4,0,0
v-D-pxJVsKl0rTHlf7rTMg,hFa7UxRZgJDQJ3UBhQsu9A,RKD_ON6_iTybbTScGMYwjA,3,1,0
VhnN3lzm1nk4Yyq6IQ4tiw,c4D851qxOujE5KTH8upXTA,DvMtsr_xVxrh9TDNBHRyPQ,1,2,0
YvZG-SGe5Y73xD5FVEVoCg,EROSyhoWNCUH53NrDrsHgQ,EzXWpnRhLlTYMxRMMHQlnw,5,0,0
V0i1Cq-fZ2gwXLtW0QnU2g,uoMWvXch6sWnI9FMsE_-Vg,tyKkDltL73BPA3jsujfMVA,4,1,0
