business_id:ID(restaurant),name,address,city,stars,review_count,categories,RangePrice,Ambiences,Nb_Ambiences,Nb_categories
41lJbk2WXU3R0GKDKxRFPA,Himalaya Indian Restaurant,2671 Kirkwood Hwy,Newark,3.5,11,"Indian, Pakistani, Restaurants",2.0,[],0,3
H2HZ5Rz01L2xLzjJR8sQ-g,Chick-fil-A,"4737 Concord Pike, Ste 760",Wilmington,3.5,23,"Event Planning & Services, Caterers, Chicken Shop, Fast Food, American (Traditional), Restaurants",1.0,[],0,6
8vvMGaJ5biveUVE6-yTipQ,FireStone Roasting House,110 S West St,Wilmington,2.5,132,"Music Venues, Sports Bars, Bars, American (New), Nightlife, Pizza, Restaurants, Arts & Entertainment",2.0,['trendy'],1,8
sTvFxzQU_4bm-owSJXx0MQ,Cromwell's American Tavern and Taqueria,3858 Kennett Pike,Greenville,3.0,94,"Nightlife, Bars, Mexican, American (New), Restaurants",2.0,['casual'],1,5
p_iyQ6Mo33ZbGS5k5_bTng,Burger King,1530 N Du Pont Hwy,New Castle,2.0,11,"Hot Dogs, Fast Food, Restaurants, Burgers",1.0,[''],1,4
qFsh80AAL90tkOc0n98bqg,El Diablo Burritos,13A Trolley Sq,Wilmington,4.5,303,"Tex-Mex, Tacos, Fast Food, Southern, Mexican, Restaurants",1.0,['casual'],1,6
-AxGGm4yvhedkmN1glW1Xw,Ming Kitchen,150 Salem Church Rd,Newark,2.5,14,"Chinese, Restaurants",2.0,[],0,2
jpEhAUyitrgwDatsgeBgXg,Bangkok House Restaurant,104 N Union St,Wilmington,4.0,76,"Restaurants, Thai",2.0,['casual'],1,2
shIAkjO9IFa4yTM5EENPTQ,PureBread Deli,"500 Delaware Ave, Ste 100",Wilmington,4.0,41,"Cafes, Restaurants, Delis, Soup, Sandwiches, Salad",1.0,['casual'],1,6
OpUoLGa5NwOzuPutIAa1vA,Hyderabad House,4621 Stanton Ogletown Rd,Newark,3.0,59,"Indian, Restaurants",2.0,[],0,2
h3DUMo4oWyVQ9ZfGar6vPg,Harry's Savoy Grill,2020 Naamans Rd,Wilmington,3.5,204,"Restaurants, Seafood, Steakhouses, American (Traditional)",3.0,"['upscale', 'classy']",2,4
KnXW9AQKAlGmQ9AU_77B5Q,Asian Kitchen,704 Lantana Dr,Hockessin,3.5,9,"Japanese, Thai, Food, Nightlife, Asian Fusion, Restaurants, Bars",2.0,[''],1,7
nrlYIT438hkDub2ifE8DHg,Mr Wish,132 Christiana Mall,Newark,4.5,21,"Food, Restaurants, Bubble Tea, Cafes, Juice Bars & Smoothies",1.0,[''],1,5
JQ__Ee1Uuw8bWUu8E2CjBQ,Hong Kong Chinese Food Pick Up,28A Trolley Sq,Wilmington,3.5,37,"Restaurants, Chinese",1.0,[],0,2
edFDP6O_R4n9BUXDMFqApw,Jake's Wayback Burgers,2095 Philadelphia Pike,Claymont,3.0,16,"Restaurants, Burgers",1.0,[],0,2
VVqQvn29cQ2LZXJ_9rPa-g,Celebrations on Market,340 S Market St,Wilmington,4.5,7,"Restaurants, Soul Food, Event Planning & Services, American (New), Venues & Event Spaces, Nightlife, Salad, Cajun/Creole, Bars, Lounges, Caterers, Caribbean, Party & Event Planning, Southern",2.0,[],0,14
uyXVm7lhbR26t5Jy20VYPg,Bertucci's Italian Restaurant,201 W Main St,Newark,3.5,78,"Pizza, Restaurants, Italian",2.0,['casual'],1,3
Nvy1jETQItFjG0oyjpGk7w,Farmer & the Cow,413 N Market St,Wilmington,4.0,247,"Burgers, Beer, Wine & Spirits, Nightlife, Restaurants, Cocktail Bars, Food, Bars, Juice Bars & Smoothies, Salad",2.0,"['hipster', 'trendy', 'casual']",3,10
AjxhKYSbc1NrGOxAcqxb9w,Biden Welcome Center,530 Jfk Memorial Hwy,Newark,3.5,216,"Visitor Centers, Travel Services, Hotels & Travel, Food Stands, Restaurants, Shopping, Shopping Centers",1.0,['casual'],1,7
52RFRa6UlbIxy8EnWJQpjg,La Tonalteca - Christiana,1237 Churchmans Rd,Newark,3.0,91,"Tex-Mex, Latin American, Restaurants, Mexican",2.0,['casual'],1,4
_ju1BXAF5g5QtAFfZZKO1g,Brew Ha Ha,3838 Kennett Pike,Greenville,4.0,80,"Food, Breakfast & Brunch, American (New), Restaurants, Coffee & Tea",2.0,['hipster'],1,5
IugPZVHmgdGvOmNVi07ueg,La Tonalteca - Hockessin,700 Lantana Dr,Hockessin,3.0,36,"Restaurants, Tex-Mex, Vegetarian, Mexican",2.0,['casual'],1,4
f4ykOH9Z-87b2l3Ea4HDPA,Hooters,194 S Dupont Hwy,New Castle,2.5,37,"Sandwiches, Restaurants, Chicken Wings, Burgers, American (Traditional), Sports Bars, Bars, Nightlife",2.0,['casual'],1,8
MIK2lBW3eFpPcy0vKxPS6w,Bugaboo Creek Steak House,1323 New Churchmans Rd,Newark,3.0,51,"Restaurants, American (Traditional), Steakhouses",2.0,['casual'],1,3
FGPFf3cZ0djSKNXNDY8IqQ,ShopRite of Brandywine Commons,1300 Rocky Run Pkwy,Wilmington,2.0,42,"Drugstores, Shopping, Grocery, Delis, Food, Bakeries, Restaurants",2.0,[''],1,7
sX_vxWQuZu_EA1bkCX95Yw,Tonic Seafood & Steak,111 W 11th St,Wilmington,4.0,122,"Caterers, Event Planning & Services, Bars, Nightlife, Burgers, Restaurants, Steakhouses, Sports Bars, American (Traditional)",3.0,['casual'],1,9
mtXTk0-IRTS8d0w16ihRPw,Dunkin',4639 Ogletown Stanton Rd,Newark,2.0,5,"Restaurants, Coffee & Tea, Donuts, Food",1.0,[''],1,4
ucDPodtTLX7LHZnigGRa4Q,James Street Tavern,2 S James St,Newport,3.5,37,"Music Venues, Restaurants, Arts & Entertainment, American (Traditional), Nightlife, Bars, Sandwiches",2.0,"['classy', 'casual']",2,7
LwXkXDdsu1yWWcWAbt2fYw,Mazzella's Italian Restaurant,729 Philadelphia Pike,Wilmington,4.0,151,"Sandwiches, Pizza, Italian, Restaurants",2.0,['casual'],1,4
Cv4QFI1gGGrgRSVnMU0qug,Olive Garden Italian Restaurant,305 Rocky Run Pkwy,Talleyville,3.5,67,"Salad, Restaurants, Italian, Bars, Soup, Nightlife, Wine Bars",2.0,['casual'],1,7
PHaAnZO3jkJeVaekf2zT4A,Boston Market,1611 Pennsylvania Ave,Wilmington,3.0,12,"Comfort Food, Restaurants, American (Traditional), Caterers, Chicken Shop, Sandwiches, Event Planning & Services",2.0,[''],1,7
